ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

078260,49,,49.00,,Yes,Success,2009-01-08 00:00:00,http://shop.adidas.com.sg/adissage-synthetic-6.html?a=214_43129
A45978,119,,119.00,,Yes,Success,2015-01-01 00:00:00,http://shop.adidas.com.sg/oklahoma-city-thunder-swingman-jersey-fn944.html?a=214_27093
AA0109,69,,,,,,2016-01-01 00:00:00,Article NOT found
AA0125,69,,,,,,2016-01-01 00:00:00,Article NOT found
AA0594,89,,89.00,,Yes,Success,2015-01-06 00:00:00,http://shop.adidas.com.sg/supernova-graphic-long-tight-men-aah49.html?a=214_25089
AA0647,39,,39.00,,Yes,Success,2015-01-07 00:00:00,http://shop.adidas.com.sg/response-sleeveless-m-kav89.html?a=214_28852
AA2140,29,,29.00,,Yes,Success,2015-01-07 00:00:00,http://shop.adidas.com.sg/running-climacool-cap-kaw78.html?a=214_25975
AA2219,109,,109.00,,Yes,Success,2015-15-06 00:00:00,http://shop.adidas.com.sg/real-madrid-away-replica-player-jersey-aar73.html?a=214_25207
AA2728,25,,25.00,,Yes,Success,2015-01-07 00:00:00,http://shop.adidas.com.sg/run-climalite-visor-kaw86.html?a=214_25960
AA5541,59,,,,,,2016-01-02 00:00:00,Article NOT found
AA5551,65,,65.00,,Yes,Success,2015-01-07 00:00:00,http://shop.adidas.com.sg/supernova-glide-shorts-kaw16.html?a=214_24142
AA5567,59,,59.00,,Yes,Success,2015-01-11 00:00:00,http://shop.adidas.com.sg/supernova-singlet-kaw10.html?a=214_35125
AA5619,45,,45.00,,Yes,Success,2015-01-11 00:00:00,http://shop.adidas.com.sg/response-cap-sleeve-tee-kav76.html?a=214_35137
AA5670,129,,129.00,,Yes,Success,2015-01-08 00:00:00,http://shop.adidas.com.sg/adistar-primeknit-tee-m-ah582.html?a=214_28815
AA6437,69,,,,,,2016-01-02 00:00:00,Article NOT found
AA6905,39,,39.00,,Yes,Success,2015-01-07 00:00:00,http://shop.adidas.com.sg/response-singlet-kav88.html?a=214_32031
AA6910,45,,45.00,,Yes,Success,2015-01-11 00:00:00,http://shop.adidas.com.sg/response-tee-kav90.html?a=214_35133
AB6421,49,,49.00,,Yes,Success,2015-01-10 00:00:00,http://shop.adidas.com.sg/base-3-stripes-shorts-jpf74.html?a=214_33944
AC0547,89,,,,,,2016-01-01 00:00:00,Article NOT found
AC1597,29,,29.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/essentials-chelsea-shorts-4055011560315.html?a=214_39957
AC2099,65,,,,,,2016-01-02 00:00:00,Article NOT found
AC2395,35,,35.00,,Yes,Success,2015-28-08 00:00:00,http://shop.adidas.com.sg/finale-15-ball-apy74.html?a=214_31932
AC2555,69,,,,,,2016-01-02 00:00:00,Article NOT found
AC2560,119,,,,,,2016-01-02 00:00:00,Article NOT found
AC2635,119,,,,,,2016-01-02 00:00:00,Article NOT found
AC2636,119,,,,,,2016-01-02 00:00:00,Article NOT found
AC2638,119,,,,,,2016-01-02 00:00:00,Article NOT found
AC2645,75,,,,,,2016-01-02 00:00:00,Article NOT found
AC2650,75,,,,,,2016-01-02 00:00:00,Article NOT found
AC2651,75,,,,,,2016-01-02 00:00:00,Article NOT found
